State,Education Appropriations,Net FTE Enrollment
Alabama,2132260233,200949
Alaska,306036971,12684
Arizona,2149916600,327169
Arkansas,864871251,106724
California,22819962872,1520716
Colorado,1411530245,181532
Connecticut,1523016553,76077
Delaware,274712100,37240
Florida,6436061337,579477
Georgia,4234823524,366748
Hawaii,729820972,32695
Idaho,626395197,55784
Illinois,6195947682,261644
Indiana,1625607257,247945
Iowa,759611402,116188
Kansas,1227892804,121103
Kentucky,1238322008,139663
Louisiana,1272443618,164921
Maine,362601721,33806
Maryland,3209110186,221493
Massachusetts,2416802478,137084
Michigan,3281549588,332245
Minnesota,1756616029,161710
Mississippi,927339156,121925
Missouri,1259359471,144901
Montana,266373906,34503
Nebraska,908218046,72625
Nevada,844086256,68891
New Hampshire,164589664,29891
New Jersey,2910914000,248055
New Mexico,1375441685,73343
New York,7328993225,456600
North Carolina,4834471016,409585
North Dakota,357527334,33418
Ohio,2460170191,341812
Oklahoma,1035781343,123283
Oregon,1246694803,128457
Pennsylvania,1949278692,289408
Rhode Island,265274758,29193
South Carolina,1536937339,175188
South Dakota,284151287,31182
Tennessee,2263929845,179740
Texas,12138976374,1044485
Utah,1718053252,133372
Vermont,118639152,19987
Virginia,2972248996,296469
Washington,2784620133,199389
West Virginia,396139751,58308
Wisconsin,1888618860,199417
Wyoming,409419622,20487
U.S.,121502160785,10399511
D.C.,100068333,3211
